,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
181,Jaden Springer,BOS,21,4,2,2,5.5,1,0.5,0.8,66.7,0,0,0,0,0,0,0,0.8,0.8,0.3,0.5,0,0.3,0.3,2.5,0,0,1
181,James Johnson,IND,37,1,0,1,1,1,0,0,0,0,0,0,1,2,50,0,0,0,0,1,0,0,0,0,0,0,1
181,Svi Mykhailiuk,BOS,27,8,6,2,4,1,0.4,1.5,25,0.3,1.1,22.2,0,0,0,0.1,0.5,0.6,0.1,0.3,0.1,0,0.4,2.1,0,0,-1.1
186,Jarace Walker,IND,20,9,6,3,3.4,0.9,0.3,1.1,30,0,0.3,0,0.2,0.3,66.7,0.1,0.3,0.4,0.4,0.7,0.2,0.1,0.2,2.4,0,0,-2
187,MarJon Beauchamp,MIL,23,4,1,3,2.4,0.8,0.3,1,25,0,0.5,0,0.3,0.5,50,0,0.3,0.3,0.5,0.3,0,0,0.3,1.6,0,0,0.8
188,Bol Bol,PHX,24,3,0,3,4.3,0.7,0.3,1,33.3,0,0,0,0,0,0,0,1.3,1.3,0,0,0.3,0,0.7,3.3,0,0,0.3
188,Jordan McLaughlin,MIN,28,6,4,2,5,0.7,0.3,1.5,22.2,0,0.8,0,0,0.3,0,0,0.7,0.7,0.3,0.3,0,0,0.2,1.6,0,0,2.8
188,Jordan Walsh,BOS,20,3,1,2,3.8,0.7,0.3,1,33.3,0,0.3,0,0,0,0,0,0.7,0.7,0,0,0,0,0,1.5,0,0,2
191,Kendall Brown,IND,21,7,5,2,3.5,0.6,0.3,0.9,33.3,0,0,0,0,0,0,0,0.4,0.4,0.3,0.4,0,0.1,0.3,1.5,0,0,-2.9
191,Kenrich Williams,OKC,29,7,6,1,4.5,0.6,0.3,1.1,25,0,0.7,0,0,0,0,0.1,1,1.1,0.4,0,0.1,0,0.4,3,0,0,-0.9
193,Mamadi Diakite,NYK,27,4,1,3,3.7,0.5,0,0.8,0,0,0.5,0,0.5,0.5,100,0,0.8,0.8,0.3,0.3,0.3,0.3,0.8,3,0,0,3.3
193,Ousmane Dieng,OKC,21,4,2,2,1.8,0.5,0.3,0.5,50,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
195,Dwight Powell,DAL,32,13,8,5,3.4,0.5,0.1,0.2,33.3,0,0,0,0.3,0.5,66.7,0.2,0.7,0.9,0.2,0.2,0.1,0,0.7,1.9,0,0,0
196,Hunter Tyson,DEN,24,3,1,2,4.6,0.3,0,1.3,0,0,1,0,0.3,0.7,50,0.3,0.7,1,0.3,0.3,0,0,0,1.7,0,0,-2.3
197,Jaxson Hayes,LAL,24,4,1,3,6,0.3,0,0.5,0,0,0,0,0.3,0.5,50,0.8,2.3,3,0.3,0.5,0,0,1.8,3.7,0,0,1.8
198,Damian Jones,CLE,29,2,1,1,4.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,0,0.5,0,3.2,0,0,-1.5
198,David Roddy,PHX,23,2,0,2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
198,De'Anthony Melton,PHI,26,1,0,1,7.2,0,0,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,2.7,0,0,-1
198,E.J. Liddell,NOP,23,1,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,2
198,Goga Bitadze,ORL,24,2,2,0,4.9,0,0,1,0,0,0,0,0,0,0,0.5,1,1.5,1,0.5,0,0,0,2.8,0,0,-4
198,Gordon Hayward,OKC,34,7,5,2,6.6,0,0,0.4,0,0,0,0,0,0,0,0.1,1.7,1.9,0.4,0,0.1,0.1,0.3,3.7,0,0,2.3
