,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
392,Luka Samanic,UTA,24,43,15,28,9.4,4.1,1.4,3.7,38,0.3,1.5,20.3,1,1.3,78.6,0.5,1.9,2.4,0.4,0.7,0.1,0.2,0.7,7.8,1,0,-1.2
393,Skylar Mays,LAL,26,38,14,24,11.4,4.1,1.7,4.2,39.6,0.4,1.4,29.6,0.3,0.4,76.5,0.3,0.9,1.1,2.2,0.5,0.6,0.1,0.7,10.2,2,0,-2.7
394,Jae'Sean Tate,HOU,28,65,32,33,15.9,4.1,1.7,3.5,47.2,0.4,1.2,29.9,0.4,0.6,66.7,0.9,2.1,3,1,0.6,0.6,0.2,2.1,11.3,0,0,1.2
395,Justin Holiday,DEN,35,58,38,20,14.9,4,1.5,3.3,45.4,0.9,2.3,40.4,0.1,0.1,75,0.2,1.1,1.2,1.2,0.2,0.6,0.2,1.2,9.3,0,0,0.9
396,Ousmane Dieng,OKC,21,33,21,12,11.1,4,1.5,3.5,42.2,0.6,2.1,30,0.4,0.5,87.5,0.3,1.2,1.5,1.1,0.6,0.2,0.2,0.7,8.2,0,0,0
397,JaVale McGee,SAC,36,46,28,18,7.4,4,1.7,2.9,59.8,0,0.2,14.3,0.6,1,57.8,0.9,1.8,2.7,0.4,0.7,0.3,0.4,1,9.3,0,0,0.2
398,Adama Sanogo,CHI,22,9,3,6,7.3,4,1.6,3,51.9,0,0,0,0.9,1.3,66.7,2.1,1.9,4,0,0.6,0.1,0,0.6,8.6,1,0,3.8
398,Izaiah Brockington,NOP,24,1,1,0,3.4,4,2,5,40,0,1,0,0,0,0,1,1,2,0,0,0,0,0,6.4,0,0,3
398,Jaylin Williams,OKC,22,69,48,21,13,4,1.4,3.3,41.7,0.8,2.1,36.8,0.5,0.6,80.5,0.5,2.9,3.4,1.6,0.5,0.4,0.4,1.4,12.4,0,0,1.8
398,Matt Hurt,MEM,24,8,2,6,14.2,4,1.5,4.3,35.3,0.6,2.5,25,0.4,0.4,100,1.1,0.9,2,0.5,0.3,0.4,0.4,1,9.2,0,0,-1.5
398,Mouhamed Gueye,ATL,21,6,2,4,12.1,4,1.3,3.8,34.8,0.5,1.5,33.3,0.8,1,83.3,1.7,2,3.7,0.7,0.2,0.8,0.7,2.2,13.7,0,0,-6.8
403,Rayan Rupert,POR,20,39,7,32,16.2,4,1.4,4.1,33.5,0.7,2,35.9,0.5,0.6,76,0.6,1.7,2.4,1.6,0.8,0.3,0.1,1.4,9.5,0,0,-3.2
404,Patty Mills,MIA,35,32,15,17,13,4,1.4,4.1,35.1,0.8,2.7,27.6,0.3,0.3,100,0.3,0.8,1.1,1.1,0.5,0.6,0,1,8.3,0,0,0.2
405,Luka Garza,MIN,25,25,17,8,4.9,4,1.4,3,48,0.4,1.3,28.1,0.7,1,72,0.8,0.5,1.2,0.2,0.2,0.2,0,1,6,0,0,0.3
406,Svi Mykhailiuk,BOS,27,41,32,9,10.1,4,1.4,3.3,41.6,1,2.6,38.9,0.1,0.2,66.7,0.3,1,1.2,0.9,0.3,0.3,0,0.5,7.3,0,0,3.6
407,DeAndre Jordan,DEN,35,36,24,12,11,3.9,1.6,2.6,62.4,0,0,0,0.7,1.5,49.1,1.5,2.9,4.4,0.7,0.6,0.2,0.4,1.6,11.5,1,0,-2.4
408,Chris Duarte,SAC,27,59,35,24,12.2,3.9,1.4,3.6,38.1,0.7,2.2,34.6,0.4,0.6,78.8,0.4,1.4,1.8,0.7,0.4,0.5,0.1,1.4,8.6,0,0,-1.1
409,Jules Bernard,WAS,24,19,2,17,7.9,3.9,1.5,3.4,45.3,0.6,1.5,37.9,0.3,0.5,55.6,0.5,0.8,1.4,0.8,0.4,0.2,0.1,0.7,7,0,0,1.4
410,Anthony Gill,WAS,31,50,9,41,9.3,3.8,1.5,3.2,46.9,0.2,0.8,24.4,0.6,0.7,80.6,0.7,1.1,1.9,0.7,0.5,0.3,0.2,1,8,0,0,0.1
411,Sidy Cissoko,SAS,20,12,5,7,11.7,3.8,1.3,2.8,48.5,0.1,1,8.3,1,1.3,80,0.7,1.2,1.8,0.8,0.3,0.6,0.3,1.5,9.5,0,0,2.1
412,KJ Martin,PHI,23,60,33,27,12.4,3.7,1.6,3,53.6,0.1,0.5,28.6,0.4,0.7,53.7,0.7,1.5,2.2,0.9,0.5,0.4,0.2,1.7,8.8,1,0,-0.1
413,Jamal Cain,MIA,25,26,14,12,10,3.7,1.3,3,43,0.4,1.2,35.5,0.7,0.9,78.3,0.6,0.8,1.4,0.4,0.3,0.4,0.2,0.8,7.4,0,0,-1
414,T.J. Warren,MIN,30,11,7,4,11.3,3.7,1.6,3.7,43.9,0.2,1.2,15.4,0.3,0.4,75,0.5,1.5,2,0.8,0.4,0.4,0.1,1,8.4,0,0,4.6
415,Keita Bates-Diop,BKN,28,53,29,24,12.5,3.7,1.4,3.1,43.4,0.4,1.3,30.4,0.6,0.8,76.2,0.6,1.5,2.1,0.7,0.3,0.5,0.4,0.7,9.7,0,0,-1
416,Drew Peterson,BOS,24,3,3,0,7.6,3.7,1.3,2,66.7,1,1.7,60,0,0,0,0,0.3,0.3,0.3,0.3,0.7,0,0.3,6.2,0,0,2.7
417,Oshae Brissett,BOS,26,55,46,9,11.5,3.7,1.2,2.8,44.4,0.3,1,27.3,0.9,1.5,60.2,1.1,1.8,2.9,0.8,0.4,0.3,0.1,1,9.5,0,0,2.1
418,Jarace Walker,IND,20,33,18,15,10.3,3.6,1.4,3.3,40.9,0.7,1.7,40,0.2,0.3,88.9,0.4,1.5,1.9,1.2,0.5,0.5,0.3,0.9,9.6,0,0,0.6
419,Collin Gillespie,DEN,25,24,15,9,9.4,3.6,1.3,2.9,46.4,0.6,1.6,39.5,0.3,0.5,66.7,0,0.8,0.9,1.1,0.6,0.5,0,1,7.4,0,0,0.6
420,Lindy Waters III,OKC,26,38,25,13,7.4,3.6,1.3,2.7,47.1,1,2.2,43.5,0.1,0.1,100,0.2,0.9,1.1,0.6,0.2,0.1,0.2,0.6,6.6,0,0,-0.9
421,James Bouknight,CHA,23,14,0,14,5.8,3.6,1.3,2.9,43.9,0.9,2.1,43.3,0.1,0.1,50,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,5.3,0,0,-0.8
422,Gui Santos,GSW,22,23,17,6,8.4,3.6,1.2,2.4,50.9,0.4,1.2,37,0.7,0.7,94.1,0.7,1.4,2.1,0.6,0.3,0.2,0.1,1,7.5,0,0,0.7
423,Jordan McLaughlin,MIN,28,56,35,21,11.2,3.5,1.3,2.6,48.3,0.8,1.6,47.2,0.2,0.3,72.2,0.3,1,1.3,2,0.3,0.6,0.1,0.6,9.9,0,0,2.8
424,Onuralp Bitim,CHI,25,23,11,12,11.7,3.5,1.4,3.7,38.1,0.5,1.9,27.3,0.2,0.2,80,0.3,1.1,1.4,0.6,0.4,0.1,0.1,1,6.2,0,0,-2
425,Theo Maledon,PHX,23,17,5,12,12.5,3.5,1.2,4.1,28.6,0.3,1.8,16.7,0.8,0.9,93.3,0.2,1.2,1.4,1.6,1.1,0.4,0,1.2,7.8,0,0,-3.8
426,Yuta Watanabe,MEM,29,34,18,16,13.7,3.4,1.2,3.4,35.3,0.7,2.5,29.4,0.3,0.5,58.8,0.3,1.3,1.6,0.4,0.6,0.4,0.2,1.1,7.1,0,0,-1.9
427,Moses Brown,POR,24,22,4,18,9.1,3.4,1.5,3,50.8,0,0,0,0.4,1.4,29,1.7,2.2,3.9,0.3,0.5,0.2,0.3,1.2,9.7,0,0,-2.7
428,Buddy Boeheim,DET,24,10,0,10,8.4,3.4,0.9,2.9,31,0.8,2.5,32,0.8,1,80,0.3,0.7,1,0.3,0,0,0.1,0.5,5.4,0,0,2.1
428,Wenyen Gabriel,MEM,27,5,1,4,16.2,3.4,1.6,4.4,36.4,0.2,1.2,16.7,0,1,0,1.4,3.6,5,0.6,1.6,0.4,0.4,2,11.1,0,0,-3.2
430,Ryan Rollins,MIL,21,13,1,12,6,3.4,1.1,2.1,51.9,0.2,0.3,75,1,1.3,76.5,0.2,0.8,1,1.1,0.6,0.8,0.2,0.6,8.6,0,0,4.8
431,Jalen McDaniels,TOR,26,50,12,38,10.8,3.4,1.3,3.8,34.4,0.2,1.4,16.9,0.5,0.7,73,0.4,1.2,1.6,0.7,0.6,0.4,0.1,1,7.3,0,0,-3.2
432,Nassir Little,PHX,24,45,28,17,10.2,3.4,1.3,2.8,46,0.5,1.6,30,0.4,0.4,85,0.3,1.4,1.7,0.5,0.3,0.2,0.2,0.9,7.1,0,0,-2
433,Marques Bolden,CHA,26,11,5,6,11,3.4,1.5,2.3,68,0,0.1,0,0.3,0.4,75,0.9,2.2,3.1,0.4,0.3,0.3,0.6,0.9,10.1,0,0,-1.5
434,Jaden Springer,BOS,21,49,32,17,10.3,3.3,1.2,3,39.9,0.2,1,20.8,0.7,0.9,83.3,0.7,0.9,1.6,0.9,0.7,0.7,0.3,1.3,9,0,0,-0.6
435,Charles Bassey,SAS,23,19,3,16,10.8,3.3,1.5,2.1,72.5,0,0.1,0,0.3,0.3,83.3,1.2,2.8,4,1.1,0.8,0.4,0.9,1.6,12.9,0,0,-2.4
436,Micah Potter,UTA,26,16,3,13,11.6,3.3,1.2,2.5,47.5,0.6,1.3,42.9,0.4,0.5,75,0.6,2.1,2.7,0.4,0.3,0.3,0.4,0.9,8.7,0,0,-1.8
437,Dwight Powell,DAL,32,63,38,25,13.3,3.3,1.1,1.7,67.9,0,0,33.3,1,1.4,70.8,1.5,1.9,3.4,1.3,0.5,0.4,0.3,1.8,11.1,1,0,0
438,Tristan Thompson,CLE,33,49,28,21,11.2,3.3,1.5,2.4,61.3,0,0,0,0.3,1.1,28.8,1.5,2.1,3.6,1,0.6,0.2,0.3,1.2,10.1,1,0,-0.3
439,Garrett Temple,TOR,38,27,5,22,10.7,3.3,1.1,2.9,37.2,0.4,1.5,30,0.7,0.8,81.8,0.7,1,1.7,1,0.5,0.4,0.1,1,8,0,0,-2.9
440,Oscar Tshiebwe,IND,24,8,2,6,5.2,3.3,1.3,2.5,50,0,0,0,0.8,1,75,1,1,2,0.3,0,0.3,0.1,0.4,7.2,0,0,1.8
440,Terquavion Smith,PHI,21,16,8,8,5.3,3.3,1.1,2.9,39.1,0.8,2.2,37.1,0.2,0.3,60,0,0.3,0.3,0.8,0.4,0.5,0,0.5,5.7,0,0,-0.4
442,A.J. Lawson,DAL,23,42,27,15,7.4,3.2,1.3,2.9,44.6,0.3,1.2,26,0.4,0.5,65.2,0.3,0.9,1.2,0.5,0.3,0.2,0.1,0.5,6,0,0,0.4
443,Ish Smith,CHA,35,43,6,37,17.2,3.2,1.5,3.7,41.8,0.1,0.2,50,0.1,0.1,75,0.3,1.5,1.8,3.4,1.1,0.4,0.1,1.1,10.8,0,0,-6.5
444,Boban Marjanović,HOU,35,14,9,5,5.1,3.2,1.3,2.4,52.9,0,0.1,0,0.6,1,64.3,0.5,1.8,2.3,0.4,0.4,0.1,0.1,0.4,6.9,0,0,-1.4
445,Zeke Nnaji,DEN,23,58,41,17,9.9,3.2,1.2,2.6,46.3,0.1,0.4,26.1,0.7,1.1,67.7,1.1,1.1,2.2,0.6,0.5,0.3,0.7,1.4,8.9,0,0,-2.9
446,Kira Lewis Jr.,UTA,23,28,10,18,9.4,3.2,1.2,3.3,37,0.1,1.2,12.1,0.6,0.7,85,0.3,0.6,0.9,1.3,0.5,0.3,0.1,0.5,7,0,0,-2.4
447,Brandon Williams,DAL,24,17,10,7,6.6,3.2,1.2,3.2,37,0.2,0.9,20,0.6,1,64.7,0.2,0.5,0.8,1,0.4,0.1,0.1,0.2,5.5,0,0,-3.4
448,JT Thor,CHA,21,63,16,47,12.4,3.2,1.3,2.9,43.7,0.4,1.3,34.6,0.2,0.3,55,0.7,1.6,2.3,0.5,0.2,0.2,0.4,1,8.2,0,0,-0.8
449,Gabe Vincent,LAL,28,11,7,4,19.8,3.1,1.4,4.5,30.6,0.3,2.5,10.7,0.1,0.2,50,0.4,0.5,0.8,1.9,0.5,0.8,0,1.7,8.9,0,0,2.8
450,Wesley Matthews,ATL,37,36,11,25,11.5,3.1,0.9,2.7,35.1,0.7,1.9,34.8,0.5,0.7,75,0.3,1.2,1.5,0.6,0.2,0.4,0.3,1.2,7.8,0,0,-1.9
451,Dalen Terry,CHI,21,59,27,32,11.5,3.1,1.2,2.7,43.9,0.3,1.3,23,0.4,0.7,58.1,0.5,1.4,1.9,1.4,0.5,0.5,0.3,1.4,9.2,0,0,0.6
452,Johnny Davis,WAS,22,50,8,42,12.3,3,1.2,3.1,40.3,0.3,0.8,35,0.3,0.5,58.3,0.4,1.1,1.4,0.6,0.3,0.4,0.2,1.1,7.1,0,0,-3
453,Olivier-Maxence Prosper,DAL,21,40,24,16,8.4,3,1,2.6,38.5,0.3,1.1,28.9,0.7,1,68.3,0.6,1.4,2,0.6,0.2,0.2,0.1,0.5,6.8,0,0,-2.2
454,Mike Muscala,OKC,33,53,17,36,11.3,3,1.1,2.9,35.9,0.5,1.8,29.2,0.3,0.5,68,0.7,1.6,2.4,0.7,0.4,0.2,0.2,1,7.7,0,0,-1.7
455,Saben Lee,PHX,25,24,15,9,7.7,3,0.8,2.3,36.4,0.1,0.7,12.5,1.2,1.6,74.4,0.4,0.9,1.3,1.3,0.3,0.3,0.1,0.5,7.3,0,0,0.6
456,Jeremiah Robinson-Earl,NOP,23,39,22,17,8.6,2.9,1.2,2.4,47.4,0.3,1,33.3,0.3,0.4,75,0.6,1.4,1.9,0.5,0.4,0.3,0.1,0.6,6.8,0,0,-0.6
457,Nate Williams,HOU,25,22,11,11,5.9,2.9,1.2,2.3,54,0.1,0.2,40,0.3,0.6,53.8,0.5,0.5,1,0.3,0.2,0.2,0,0.5,5.1,0,0,1
458,Trevelin Queen,ORL,27,14,5,9,11.8,2.9,1,2.7,36.8,0.2,1.2,17.6,0.6,0.9,75,0.2,1.2,1.4,1.3,0.5,0.5,0.4,1.1,8.6,0,0,-0.6
459,D.J. Carton,TOR,23,4,2,2,8.9,2.8,0.8,2,37.5,0.3,1,25,1,1.3,80,0.5,0.5,1,0.8,0.3,0.3,0,0.8,5.6,0,0,-7.8
459,Henri Drell,CHI,24,4,2,2,7.5,2.8,1,2.5,40,0.5,1.5,33.3,0.3,0.5,50,0.3,0.8,1,1,0.5,0.5,0.3,1.5,7.2,0,0,1.5
459,Orlando Robinson,MIA,23,36,20,16,8.4,2.8,1,2,50,0.2,0.4,53.3,0.5,0.7,76,0.8,1.6,2.3,0.9,0.5,0.2,0.2,1,7.7,1,0,0.3
462,Damian Jones,CLE,29,39,24,15,6.9,2.7,1.1,1.8,59.7,0.1,0.4,21.4,0.5,0.5,85.7,0.5,1.1,1.6,0.4,0.3,0.2,0.3,0.7,6.4,0,0,-2.3
463,Emoni Bates,CLE,20,15,8,7,8.9,2.7,1,3.3,30.6,0.7,2.2,30.3,0.1,0.3,25,0.1,0.9,0.9,0.7,0.5,0.1,0.1,0.3,4.9,0,0,-5.6
464,Malik Williams,TOR,25,7,2,5,15.2,2.7,1.3,4.9,26.5,0.1,0.7,20,0,0.3,0,2.1,3.3,5.4,0.3,0.4,0.4,0.6,2.1,12.2,0,0,-8
465,Leaky Black,CHA,25,26,2,24,10.9,2.7,1,2,48.1,0.3,0.8,45,0.4,0.6,66.7,0.3,1.5,1.8,0.9,0.2,0.3,0.4,0.7,8.2,0,0,-1
466,Moussa Diabate,LAC,22,11,7,4,5.8,2.6,0.9,1.7,52.6,0,0,0,0.8,1.3,64.3,1.4,0.8,2.2,0.4,0.2,0.5,0.1,0.4,7.3,0,0,-0.2
467,Otto Porter Jr.,TOR,31,15,6,9,11.6,2.6,0.9,2.2,42.4,0.5,1.5,34.8,0.2,0.2,100,0.4,1.5,1.9,0.5,0.1,0.3,0.3,1.3,7.6,0,0,1.5
467,Timmy Allen,MEM,24,5,0,5,25.1,2.6,1.2,4.6,26.1,0,1.4,0,0.2,0.4,50,0.8,2.6,3.4,1,0.4,0.8,0,3.6,10.2,0,0,-13
469,Markieff Morris,DAL,34,26,15,11,8.3,2.5,0.9,2.6,33.8,0.6,1.6,35.7,0.2,0.2,83.3,0.2,1.3,1.5,0.6,0.5,0.2,0.1,0.5,5.7,0,0,-2.2
470,Dylan Windler,ATL,27,17,9,8,6.4,2.5,0.9,1.8,50,0.8,1.6,48.1,0,0,0,0.2,0.8,0.9,0.6,0.1,0.1,0,0.4,4.8,0,0,-0.9
471,Furkan Korkmaz,PHI,26,35,22,13,8.6,2.5,0.9,2.2,39.5,0.4,1.1,35,0.4,0.6,70,0.1,0.7,0.9,0.7,0.3,0.4,0.1,0.5,5.8,0,0,1.3
472,Alex Fudge,DAL,21,6,1,5,6.7,2.5,1,2.5,40,0.2,0.8,20,0.3,0.3,100,0.7,0.2,0.8,0,0.3,0.5,0,0.3,4.7,0,0,-6.5
472,Alex Len,SAC,31,48,24,24,9.3,2.5,1,1.7,61.7,0,0.1,0,0.4,0.7,58.8,1,1.7,2.7,1,0.6,0.2,0.7,1.4,9.5,0,0,3
472,Greg Brown III,DAL,22,6,3,3,6.6,2.5,0.8,1.8,45.5,0.2,0.5,33.3,0.7,1.5,44.4,0.5,1,1.5,0.7,0.7,0,0.7,0.8,6.6,0,0,-1.5
475,Joe Harris,DET,32,16,4,12,10.6,2.4,0.9,2.4,35.9,0.6,1.9,33.3,0.1,0.1,50,0.2,0.6,0.8,0.6,0.3,0.2,0.1,1.2,5,0,0,-3
476,Harry Giles III,LAL,26,23,11,12,4.3,2.4,1,2.2,46,0.1,0.6,21.4,0.3,0.6,53.8,0.5,0.8,1.3,0.3,0.3,0.1,0.1,0.7,4.8,0,0,-1.8
477,Cory Joseph,GSW,32,26,10,16,11.4,2.4,0.9,2.5,35.9,0.5,1.6,31,0.2,0.3,57.1,0.2,0.9,1.2,1.6,0.5,0.2,0.1,1,6.6,0,0,-0.5
478,AJ Griffin,ATL,20,20,8,12,8.5,2.4,0.9,3.1,29,0.5,2,25.6,0.1,0.1,100,0.1,0.8,0.9,0.3,0.4,0.1,0.1,0.3,3.9,0,0,-2.6
479,Mouhamadou Gueye,TOR,25,11,0,11,10.9,2.4,1,3.5,28.9,0,0.3,0,0.4,0.8,44.4,1.1,1,2.1,0.5,1.1,0.3,1.6,1.4,10.2,0,0,-7.3
480,Xavier Moon,LAC,29,14,7,7,8.5,2.4,1.1,3.3,32.6,0.1,1.2,11.8,0.1,0.1,50,0.6,0.7,1.3,1.5,0.4,0.2,0.2,0.6,7.1,0,0,-2.6
481,Cole Swider,MIA,25,18,8,10,4.8,2.3,0.8,2.1,39.5,0.6,1.7,33.3,0.1,0.1,100,0.1,0.3,0.4,0.3,0.4,0.1,0.1,0.2,3.1,0,0,-1.1
481,Dereon Seabron,NOP,24,6,3,3,9.2,2.3,0.7,2.2,30.8,0.2,0.3,50,0.8,1,83.3,0.2,1,1.2,0.8,0,0.3,0.2,0.7,6.5,0,0,4.7
481,Jamaree Bouyea,SAS,25,9,2,7,10.5,2.3,1.1,3.1,35.7,0.1,1,11.1,0,0,0,0.3,1.8,2.1,1.2,1,0.1,0,1.1,6,0,0,-1.7
484,Amari Bailey,CHA,20,10,1,9,6.5,2.3,0.8,2.4,33.3,0.1,0.8,12.5,0.6,0.7,85.7,0.6,0.3,0.9,0.7,0.4,0.3,0,0.2,4.9,0,0,0.5
484,Isaiah Mobley,CLE,24,10,2,8,7.2,2.3,1,2.4,41.7,0.3,1,30,0,0.1,0,0.3,0.7,1,0.6,0.2,0.2,0,0.6,4.8,0,0,-3
486,Chuma Okeke,ORL,25,47,24,23,9.2,2.3,0.9,2.4,35.7,0.5,1.7,28,0.1,0.1,57.1,0.4,1.3,1.7,0.4,0.3,0.2,0.1,0.4,5.6,0,0,-1.5
487,Olivier Sarr,OKC,25,15,8,7,6.5,2.3,0.7,1.3,57.9,0.1,0.4,33.3,0.7,1,66.7,0.7,1.7,2.4,0.1,0.2,0,0.5,1.2,6.5,0,0,0.1
488,Julian Phillips,CHI,20,40,20,20,8.1,2.2,0.8,1.9,41.6,0.3,1,31.6,0.3,0.5,68.4,0.3,0.6,0.9,0.3,0.3,0.2,0.2,1,4.6,0,0,-0.1
489,Nate Hinton,HOU,25,15,8,7,5,2.2,0.7,1.7,42.3,0.5,0.9,50,0.3,0.3,80,0.5,1,1.5,0.7,0.2,0.2,0.1,0.7,5.8,0,0,0.9
490,Andre Jackson Jr.,MIL,22,57,33,24,10,2.2,0.9,1.8,50,0.3,0.8,37,0.1,0.2,72.7,0.8,1.2,2,0.9,0.5,0.3,0.1,1.6,6.6,1,0,-1.6
491,Udoka Azubuike,PHX,24,16,12,4,7.1,2.2,1,1.4,69.6,0,0,0,0.2,0.8,23.1,0.7,1.3,2,0.2,0.3,0.1,0.4,1.1,5.9,1,0,-3
492,Trent Forrest,ATL,26,38,18,20,10.9,2.2,0.9,2.4,37.8,0.1,0.3,20,0.3,0.4,76.5,0.3,1.1,1.3,2.4,0.5,0.3,0.1,0.7,8,0,0,-2.5
493,Reggie Bullock Jr.,HOU,33,44,24,20,9.5,2.2,0.8,1.9,41.5,0.6,1.5,40.3,0,0,100,0.1,1.5,1.7,0.3,0.2,0.3,0.1,0.7,5.6,0,0,-1.2
494,Colby Jones,SAC,22,30,15,15,6.4,2.1,0.9,2.4,39.4,0.1,0.7,9.1,0.2,0.4,54.5,0.6,0.8,1.3,0.7,0.3,0.2,0.2,1,5.6,0,0,0.3
495,Ish Wainright,PHX,29,11,2,9,5.7,2.1,0.6,2.2,29.2,0.6,1.8,35,0.2,0.2,100,0.3,1,1.3,0.1,0.2,0.4,0.1,0.7,4.9,0,0,-0.4
496,Jericho Sims,NYK,25,45,30,15,13,2,0.8,1.2,69.1,0,0,0,0.4,0.5,66.7,1.2,2,3.3,0.6,0.4,0.2,0.4,1,8.2,0,0,-0.2
497,Kobe Brown,LAC,24,44,27,17,9,2,0.8,2,41.1,0.3,1.1,29.2,0,0,50,0.5,1,1.4,0.6,0.2,0.3,0.1,1.1,5.6,0,0,-2.1
498,D'Moi Hodge,LAL,25,7,1,6,5.9,2,0.7,2.1,33.3,0.4,1.7,25,0.1,0.3,50,0,0,0,0.7,0.1,0.1,0.1,0.6,3.8,0,0,-5
498,Isaiah Wong,IND,23,1,1,0,4.3,2,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-5
498,JD Davison,BOS,21,8,8,0,4.9,2,0.6,1.5,41.7,0.4,0.9,42.9,0.4,0.5,75,0.3,1,1.3,1.3,0.3,0.1,0.1,0.5,5.9,0,0,2.9
498,Jordan Ford,SAC,26,6,2,4,3.6,2,0.7,1.2,57.1,0.3,0.5,66.7,0.3,0.3,100,0,0.3,0.3,0.3,0.2,0,0,0,2.7,0,0,2.3
498,Kevon Harris,ORL,27,2,1,1,3,2,1,1.5,66.7,0,0,0,0,0,0,0,1,1,0.5,0.5,0,0,1.5,3.5,0,0,0
498,Lindell Wigginton,MIL,26,3,3,0,2.5,2,0.7,1.7,40,0,0.7,0,0.7,0.7,100,0,0,0,0,0.3,0,0,0.3,1.7,0,0,-3.3
498,Mamadi Diakite,NYK,27,6,5,1,4.1,2,0.7,1,66.7,0,0.2,0,0.7,1,66.7,0.2,0.5,0.7,0.3,0.2,0.2,0.2,0.3,4.1,0,0,0.5
498,Markquis Nowell,TOR,24,1,0,1,3.5,2,0,1,0,0,0,0,2,2,100,2,0,2,2,0,1,0,0,10.4,0,0,4
498,Ty Jerome,CLE,26,2,1,1,7.4,2,1,2,50,0,0.5,0,0,0,0,0.5,0,0.5,1.5,0.5,0,0,1,4.4,0,0,-7
507,Daishen Nix,MIN,22,15,11,4,3.3,1.8,0.6,1.6,37.5,0.4,1.1,35.3,0.2,0.4,50,0.1,0.1,0.2,0.4,0.3,0.3,0,0.1,3.3,0,0,1.9
508,Justin Minaya,POR,25,34,3,31,11.2,1.8,0.6,2.2,29.7,0.4,1.4,24.5,0.1,0.3,55.6,0.9,0.8,1.6,0.6,0.3,0.3,0.3,1,6.1,0,0,-2.4
509,Cody Zeller,NOP,31,43,26,17,7.4,1.8,0.6,1.4,41.9,0,0.1,33.3,0.5,0.9,60.5,1.1,1.5,2.6,0.9,0.4,0.2,0.1,1,6.9,0,0,1.1
510,Kessler Edwards,SAC,23,54,32,22,5.1,1.7,0.6,1.5,41.5,0.4,1,38.5,0.1,0.2,55.6,0.2,0.6,0.8,0.3,0.1,0.2,0.1,0.5,3.8,0,0,-0.8
511,Jason Preston,UTA,24,7,2,5,10.2,1.7,0.9,2.7,31.6,0,0.4,0,0,0,0,0.9,1.6,2.4,2.3,0.3,0.3,0.1,0.4,9.1,0,0,3.3
512,Leonard Miller,MIN,20,17,13,4,3.1,1.7,0.8,1.2,65,0.1,0.3,40,0.1,0.1,50,0.3,0.9,1.2,0.5,0.1,0.1,0.1,0.3,4.3,0,0,0.5
513,Taj Gibson,DET,39,20,8,12,10.2,1.7,0.8,1.9,40.5,0.1,0.5,20,0.1,0.1,100,0.6,1.3,1.9,0.6,0.3,0.2,0.4,1.6,6,0,0,-1.5
514,P.J. Tucker,LAC,39,31,13,18,15.7,1.7,0.6,1.6,36,0.4,1.1,37.1,0.1,0.1,100,0.9,1.8,2.7,0.5,0.3,0.5,0.2,1.7,7.7,0,0,-0.8
515,Jordan Walsh,BOS,20,9,9,0,9.3,1.7,0.7,1.7,40,0.2,1,22.2,0.1,0.2,50,0.6,1.7,2.2,0.6,0.3,0.6,0.1,1.2,6.8,0,0,5.2
516,Jordan Miller,LAC,24,8,5,3,3.5,1.6,0.6,1.1,55.6,0.1,0.3,50,0.3,0.3,100,0.4,0.3,0.6,0,0.1,0,0,0.3,2.3,0,0,-1.6
517,Jalen Hood-Schifino,LAL,21,21,10,11,5.2,1.6,0.5,2.1,22.2,0.1,0.7,13.3,0.6,1,60,0.1,0.5,0.6,0.4,0.4,0.1,0.1,0.6,3.2,0,0,-2.6
518,Jett Howard,ORL,20,18,9,9,3.7,1.6,0.6,1.7,33.3,0.4,1.4,28,0.1,0.2,50,0.1,0.3,0.4,0.3,0.2,0.1,0.1,0.2,3.1,0,0,0.2
519,Josh Minott,MIN,21,32,23,9,2.9,1.6,0.5,1.1,47.2,0.1,0.3,40,0.4,0.4,85.7,0.1,0.4,0.5,0.3,0.1,0.2,0.2,0.3,3.5,0,0,0.6
520,Jalen Pickett,DEN,24,27,20,7,4.5,1.6,0.6,1.3,42.9,0.3,0.9,36,0.1,0.1,75,0,0.5,0.5,0.8,0.3,0.1,0,0.5,3.5,0,0,0
520,Seth Lundy,ATL,24,9,2,7,5.8,1.6,0.4,1.9,23.5,0.3,1.4,23.1,0.3,0.4,75,0.1,0.7,0.8,0,0.1,0,0,0.7,2.4,0,0,-1.4
522,Ibou Badji,POR,21,22,5,17,10.3,1.5,0.6,1,63.6,0,0,0,0.3,0.5,50,0.9,1.4,2.3,0.6,0.7,0.1,0.9,2.1,7.7,0,0,-4.1
523,Adam Flagler,OKC,24,2,2,0,7,1.5,0.5,3.5,14.3,0.5,3,16.7,0,0,0,0,0,0,2,0,0,0,0,4.5,0,0,0
523,Colin Castleton,LAL,24,16,9,7,3.7,1.5,0.6,1,56.3,0,0,0,0.4,0.4,100,0.4,0.4,0.8,0.2,0.2,0.1,0,0.7,2.9,0,0,-2.8
523,Dariq Whitehead,BKN,19,2,1,1,12,1.5,0.5,2.5,20,0,1.5,0,0.5,1,50,0,2,2,1.5,0,0,0.5,0,7.7,0,0,-11
