,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
180,Alex Caruso,CHI,30,71,34,37,28.7,10.1,3.6,7.6,46.8,1.9,4.7,40.8,1,1.4,76,0.9,3,3.8,3.5,1.4,1.7,1,2.5,26.5,1,0,0.1
181,Vince Williams Jr.,MEM,23,52,18,34,27.6,10,3.3,7.3,44.6,1.5,4,37.8,2,2.5,80,1.1,4.4,5.6,3.4,1.8,0.9,0.7,2.6,24.7,3,0,-1.8
182,Tre Jones,SAS,24,77,21,56,27.8,10,3.9,7.8,50.5,0.8,2.5,33.5,1.3,1.5,85.6,0.8,3,3.8,6.2,1.5,1,0.1,1.2,25.7,5,1,-0.3
183,Caleb Martin,MIA,28,64,36,28,27.4,10,3.8,8.7,43.1,1.3,3.6,34.9,1.2,1.5,77.8,1.2,3.2,4.4,2.2,1.2,0.7,0.5,2,21,2,0,1
184,Patrick Williams,CHI,22,43,19,24,27.3,10,3.7,8.3,44.3,1.4,3.4,39.9,1.2,1.5,78.8,1.1,2.8,3.9,1.5,1.3,0.9,0.8,2,20.7,0,0,-0.3
185,Josh Richardson,MIA,30,43,24,19,25.6,9.9,3.6,8.1,44.4,1.5,4.4,34.7,1.2,1.3,94.4,0.4,2.4,2.8,2.4,0.8,0.6,0.3,1.8,18.7,0,0,-2.5
186,Jalen Smith,IND,24,61,36,25,17.2,9.9,3.8,6.5,59.2,1,2.4,42.4,1.2,1.7,69.2,1.8,3.7,5.5,1,0.7,0.3,0.6,2,20,5,0,-0.2
187,Gordon Hayward,OKC,34,51,25,26,24.4,9.8,3.7,7.9,46.4,0.7,1.8,41.1,1.7,2.4,74.2,0.7,2.8,3.5,3.1,1.3,0.8,0.3,1.3,20.5,0,0,-2.6
188,Tari Eason,HOU,23,22,12,10,21.8,9.8,4,8.6,46.6,0.8,2.3,36,1,1.5,63.6,2.1,4.9,7,1.2,0.9,1.4,0.9,2.3,25.9,3,0,4
189,Kelly Olynyk,TOR,33,78,31,47,22.5,9.8,3.5,6.4,55.5,0.8,2,38.7,1.9,2.3,83.3,1.4,3.9,5.3,4.4,1.9,0.9,0.4,2.9,24.8,6,0,-3.4
190,Lonnie Walker IV,BKN,25,58,23,35,17.4,9.7,3.6,8.5,42.3,1.8,4.7,38.4,0.8,1,76.3,0.2,2,2.2,1.3,0.9,0.6,0.3,1.2,16.1,0,0,0.1
191,Nick Richards,CHA,26,67,14,53,26.2,9.7,3.9,5.6,69.1,0,0,0,2,2.7,73.7,2.6,5.5,8,0.8,1.1,0.4,1.1,2.6,24,19,0,-6.4
192,Payton Pritchard,BOS,26,82,64,18,22.3,9.6,3.6,7.7,46.8,1.8,4.7,38.5,0.6,0.7,82.1,0.9,2.4,3.2,3.4,0.7,0.5,0.1,1.3,19.5,3,0,5.5
193,Amen Thompson,HOU,21,62,30,32,22.4,9.5,3.9,7.2,53.6,0.1,0.9,13.8,1.7,2.5,68.4,2.4,4.2,6.6,2.6,1.5,1.3,0.6,2.3,25.6,13,1,0.7
194,Josh Hart,NYK,29,81,49,32,33.4,9.4,3.6,8.4,43.4,1,3.2,31,1.1,1.4,79.1,1.6,6.8,8.3,4.1,1.5,0.9,0.3,2.1,27.7,21,6,4.3
195,Isaac Okoro,CLE,23,69,41,28,27.3,9.4,3.4,7,49,1.2,3.1,39.1,1.3,2,67.9,1,2,3,1.9,0.8,0.8,0.5,2,19,0,0,0.6
196,Georges Niang,CLE,31,82,48,34,22.3,9.4,3.5,7.7,44.9,1.8,4.8,37.6,0.6,0.7,85,0.3,3.1,3.4,1.2,0.9,0.4,0.2,2.3,16.1,0,0,0.4
197,Tre Mann,CHA,23,41,21,20,24.1,9.3,3.5,7.7,45.9,1.1,3.1,37.3,1.1,1.4,76.3,0.5,3.1,3.6,4,1.6,1.2,0.1,1.2,22.1,0,0,-3.1
198,Brandin Podziemski,GSW,21,74,41,33,26.6,9.2,3.7,8.1,45.4,1.2,3.2,38.5,0.7,1.1,63.3,1.6,4.2,5.8,3.7,1.2,0.8,0.2,1.6,23.5,7,0,3.6
199,Andrew Nembhard,IND,24,68,41,27,25,9.2,3.8,7.7,49.8,0.9,2.5,35.7,0.7,0.8,80.4,0.5,1.5,2.1,4.1,1.5,0.9,0.1,2.1,19.4,1,0,1
200,Malaki Branham,SAS,21,75,18,57,21.3,9.2,3.6,8.4,43.2,1.2,3.6,34.7,0.7,0.8,87.3,0.4,1.6,2,2.1,1.2,0.4,0.1,1.3,14.9,0,0,-5
201,Chris Paul,GSW,39,58,33,25,26.4,9.2,3.6,8.1,44.1,1.3,3.6,37.1,0.7,0.9,82.7,0.3,3.6,3.9,6.8,1.3,1.2,0.1,1.9,26.6,5,0,1.9
202,Duop Reath,POR,28,68,17,51,17.9,9.1,3.4,7.3,46.1,1.3,3.6,35.9,1,1.4,74.2,1.4,2.3,3.7,1,0.8,0.5,0.6,2.4,17.3,1,0,-2.8
203,Sam Hauser,BOS,26,79,62,17,22,9,3.2,7.1,44.6,2.5,5.9,42.4,0.2,0.2,89.5,0.6,2.9,3.5,1,0.4,0.5,0.3,1.3,16.8,0,0,6.2
204,Taurean Prince,LAL,30,78,44,34,27,8.9,3.2,7.3,44.2,1.8,4.6,39.6,0.6,0.9,73.5,0.3,2.7,2.9,1.5,0.9,0.7,0.4,1.9,17.4,0,0,-1.5
205,Jabari Walker,POR,21,72,18,54,23.6,8.9,3.3,7.1,46,0.6,1.9,29.5,1.8,2.4,75.4,2.1,5,7.1,1,0.9,0.6,0.3,2.4,20.6,11,0,-4.7
206,Ausar Thompson,DET,21,63,10,53,25.1,8.8,3.7,7.6,48.3,0.3,1.8,18.6,1.1,1.9,59.7,2,4.3,6.4,1.9,1.3,1.1,0.9,2.8,24.1,2,0,-3.7
207,Kevin Love,MIA,35,55,31,24,16.8,8.8,2.9,6.5,44,1.5,4.4,34.4,1.5,2,78.7,1.1,5.1,6.1,2.1,0.9,0.3,0.2,1.8,20,6,0,2
208,Dereck Lively II,DAL,20,55,35,20,23.5,8.8,4,5.4,74.7,0,0,0,0.7,1.5,50.6,2.5,4.4,6.9,1.1,0.9,0.7,1.4,2.6,23.9,8,0,2.6
209,Terance Mann,LAC,27,75,47,28,25,8.8,3.4,6.6,51.5,0.9,2.7,34.8,1.1,1.3,83.2,1.2,2.2,3.4,1.6,0.6,0.6,0.2,1.9,16.9,2,0,0.7
210,Al Horford,BOS,38,65,51,14,26.8,8.6,3.3,6.4,51.1,1.7,4,41.9,0.4,0.5,86.7,1.3,5.1,6.4,2.6,0.7,0.6,1,1.4,24,3,0,6.5
211,Derrick Jones Jr.,DAL,27,76,47,29,23.5,8.6,3.1,6.5,48.3,1.1,3.1,34.3,1.3,1.8,71.3,1.1,2.2,3.3,1,0.9,0.7,0.7,1.6,17.3,2,0,0.7
212,Draymond Green,GSW,34,55,33,22,27.1,8.6,3.4,6.8,49.7,0.9,2.3,39.5,1,1.3,73,1.4,5.9,7.2,6,2.5,1,0.9,3,29.5,10,1,3.1
213,Dorian Finney-Smith,BKN,31,68,28,40,28.4,8.5,3.2,7.5,42.1,1.7,4.9,34.8,0.5,0.7,71.7,1.6,3.1,4.7,1.6,0.9,0.8,0.6,2.2,19.8,0,0,-1.6
214,Gradey Dick,TOR,20,60,18,42,21.1,8.5,3.2,7.4,42.5,1.5,4,36.5,0.7,0.9,86.3,0.5,1.8,2.2,1.1,0.8,0.6,0,1.5,13.8,0,0,-6.3
214,Tristan Vukcevic,WAS,21,10,3,7,15.3,8.5,2.9,6.7,43.3,1,3.6,27.8,1.7,2.2,77.3,0.6,3,3.6,1.3,1,0.5,0.7,2.8,17.4,0,0,3.2
216,Bilal Coulibaly,WAS,19,63,11,52,27.2,8.4,3,6.9,43.5,1,2.9,34.6,1.5,2.1,70.2,0.9,3.2,4.1,1.7,1.4,0.9,0.8,2.2,19.6,1,0,-6.7
217,Andre Drummond,CHI,30,79,37,42,17.1,8.4,3.4,6.1,55.6,0,0,0,1.6,2.8,59.2,3.4,5.6,9,0.5,1,0.9,0.6,1.8,23.4,18,0,0.3
218,Miles McBride,NYK,23,68,42,26,19.5,8.3,3,6.7,45.2,1.6,3.9,41,0.6,0.7,86,0.5,1,1.5,1.7,0.4,0.7,0.1,1.6,14.6,0,0,-0.2
219,Marcus Sasser,DET,23,71,11,60,19,8.3,3.1,7.2,42.8,1.3,3.4,37.5,0.8,0.9,87.9,0.2,1.6,1.8,3.3,1.3,0.6,0.2,1.5,16.5,1,0,-3.5
220,Ziaire Williams,MEM,22,51,20,31,20.3,8.2,2.9,7.4,39.7,1.1,3.7,30.7,1.2,1.5,82.7,0.7,2.8,3.5,1.5,1.3,0.7,0.2,1.7,16,1,0,-4.8
221,Josh Green,DAL,23,57,32,25,26.4,8.2,3.1,6.6,47.9,1.3,3.3,38.5,0.7,1,68.4,0.7,2.5,3.2,2.3,1.1,0.8,0.2,1.9,17.4,0,0,-1.8
222,Isaiah Joe,OKC,24,78,54,24,18.5,8.2,2.8,6.2,45.8,1.9,4.5,41.6,0.6,0.7,86.5,0.4,1.9,2.3,1.3,0.6,0.6,0.3,1.1,14.8,0,0,4.5
223,Kyle Lowry,PHI,38,60,32,28,28.2,8.1,2.7,6.3,43.2,1.6,4.2,39.2,1.1,1.3,84,0.6,2.7,3.2,4.2,1.4,1,0.4,2.4,20.9,3,0,0
224,Walker Kessler,UTA,22,64,26,38,23.3,8.1,3.6,5.5,65.4,0.1,0.3,21.1,0.9,1.5,60.2,2.6,4.9,7.5,0.9,1,0.5,2.4,2.1,26.1,7,0,-2.3
225,Moses Moody,GSW,22,66,38,28,17.5,8.1,2.9,6.4,46.2,1.1,3,36,1.1,1.4,78.5,1,2,3,0.9,0.7,0.6,0.4,1.4,15.3,0,0,1.5
226,Dario Šarić,GSW,30,64,35,29,17.2,8,2.8,6.1,46.6,1.2,3.1,37.6,1.2,1.5,84.9,1.1,3.3,4.4,2.3,1.2,0.5,0.2,1.8,17.4,2,0,-0.3
227,Nickeil Alexander-Walker,MIN,25,82,56,26,23.4,8,2.9,6.6,43.9,1.6,4.1,39.1,0.6,0.8,80,0.4,1.6,2,2.5,0.9,0.8,0.5,1.7,17.1,0,0,3.8
228,Derrick Rose,MEM,35,24,6,18,16.6,8,3.2,6.9,46.1,0.6,1.7,36.6,1,1.1,88.9,0.3,1.6,1.9,3.3,1.3,0.3,0.1,0.9,15,0,0,-1.4
229,Sam Merrill,CLE,28,61,36,25,17.5,8,2.6,6.4,40.2,2.3,5.8,40.4,0.4,0.5,92.9,0.4,1.6,2,1.8,0.3,0.3,0.1,1.2,13.8,0,0,0.5
